Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?,Salary Difference,Percent of Life Worked
923,35,Male,Engineering,3.67,1,Consultant,115472.27,No,626,197,Loan,Finance Manager,163226.7,Domestic,Career Growth,Online,No,47754.43000000001,0.028571
924,22,Female,Economics,2.41,6,Engineer,69777.62,Yes,642,57,Scholarship,Executive,75858.68,International,Career Growth,Online,Yes,6081.059999999998,0.272727
925,24,Female,Business,3.89,7,Engineer,85131.68,No,786,347,Self-funded,Executive,139088.13,International,Career Growth,Online,Yes,53956.45000000001,0.291667
926,22,Male,Engineering,2.07,4,Manager,61692.7,Yes,494,37,Loan,Marketing Director,69417.55,Domestic,Career Growth,On-Campus,Yes,7724.850000000006,0.181818
927,24,Female,Economics,2.22,7,Entrepreneur,96286.33,No,572,92,Loan,Finance Manager,74255.45,Domestic,Skill Enhancement,On-Campus,No,-22030.880000000005,0.291667
928,23,Female,Science,2.96,4,Manager,54329.09,No,260,488,Scholarship,Executive,107710.52,Domestic,Career Growth,On-Campus,Yes,53381.43000000001,0.173913
929,26,Female,Economics,2.15,6,Consultant,90013.96,Yes,698,197,Loan,Marketing Director,126689.42,Domestic,Networking,Online,No,36675.45999999999,0.230769
930,25,Female,Economics,2.99,0,Entrepreneur,32918.75,No,686,120,Employer,Consultant,127225.63,International,Skill Enhancement,Online,Yes,94306.88,0.0
931,22,Male,Arts,4.0,6,Analyst,55556.47,No,260,212,Loan,Marketing Director,131679.03,International,Career Growth,On-Campus,No,76122.56,0.272727
932,27,Male,Business,2.42,6,Entrepreneur,104051.76,No,643,346,Scholarship,Marketing Director,120400.3,Domestic,Networking,On-Campus,No,16348.540000000008,0.222222
933,28,Female,Business,3.21,3,Entrepreneur,42965.19,Yes,457,290,Loan,Executive,92979.64,Domestic,Skill Enhancement,Online,No,50014.45,0.107143
934,30,Female,Science,2.74,7,Engineer,49278.17,Yes,271,36,Loan,Consultant,157497.34,Domestic,Skill Enhancement,On-Campus,Yes,108219.17,0.233333
935,27,Female,Economics,2.06,2,Manager,106532.89,No,343,268,Loan,Startup Founder,97233.98,International,Skill Enhancement,Online,No,-9298.910000000003,0.074074
936,22,Male,Science,2.92,4,Engineer,110677.87,No,356,23,Self-funded,Consultant,139768.14,Domestic,Entrepreneurship,Online,No,29090.27000000002,0.181818
937,22,Female,Science,3.97,2,Engineer,74377.24,No,401,400,Employer,Startup Founder,159875.99,International,Career Growth,Online,Yes,85498.74999999999,0.090909
938,28,Female,Business,2.65,5,Manager,53859.4,Yes,505,341,Self-funded,Marketing Director,147977.61,Domestic,Skill Enhancement,Online,Yes,94118.20999999999,0.178571
939,30,Male,Business,2.92,1,Engineer,126638.65,No,360,154,Loan,Consultant,182675.94,International,Career Growth,On-Campus,No,56037.29000000001,0.033333
940,29,Male,Business,3.44,1,Entrepreneur,50785.44,Yes,275,460,Loan,Finance Manager,121406.96,Domestic,Skill Enhancement,Online,Yes,70621.52,0.034483
941,31,Female,Engineering,3.67,10,Consultant,48661.41,No,658,308,Loan,Startup Founder,117916.75,International,Skill Enhancement,Online,No,69255.34,0.322581
942,22,Female,Economics,2.47,5,Analyst,37827.64,No,753,67,Scholarship,Consultant,115281.64,Domestic,Career Growth,Online,Yes,77454.0,0.227273
943,24,Male,Science,3.34,7,Analyst,47623.84,No,587,427,Employer,Executive,99391.64,International,Skill Enhancement,On-Campus,No,51767.8,0.291667
944,36,Female,Economics,2.89,6,Engineer,36759.19,No,672,457,Self-funded,Startup Founder,159551.35,Domestic,Networking,On-Campus,Yes,122792.16,0.166667
945,30,Male,Science,3.38,5,Manager,90713.26,Yes,413,301,Employer,Startup Founder,135670.4,International,Skill Enhancement,On-Campus,Yes,44957.14,0.166667
946,22,Male,Science,3.1,6,Entrepreneur,102435.04,Yes,557,254,Loan,Startup Founder,149256.12,International,Entrepreneurship,Online,No,46821.08,0.272727
947,30,Female,Science,2.06,6,Engineer,60045.76,Yes,679,302,Scholarship,Executive,86649.28,International,Entrepreneurship,On-Campus,Yes,26603.519999999997,0.2
948,23,Female,Science,3.41,4,Entrepreneur,53771.86,No,260,287,Employer,Finance Manager,166309.98,Domestic,Entrepreneurship,Online,No,112538.12000000001,0.173913
949,23,Female,Arts,2.81,1,Entrepreneur,68885.13,No,757,115,Scholarship,Finance Manager,137295.33,Domestic,Entrepreneurship,On-Campus,Yes,68410.19999999998,0.043478
950,28,Female,Arts,3.34,0,Analyst,54435.71,Yes,619,35,Employer,Marketing Director,119229.74,International,Networking,Online,No,64794.030000000006,0.0
951,22,Male,Engineering,3.51,7,Consultant,92579.9,Yes,274,385,Loan,Marketing Director,165060.22,International,Networking,On-Campus,Yes,72480.32,0.318182
952,33,Female,Business,4.0,6,Consultant,110254.48,No,421,197,Self-funded,Consultant,60722.84,International,Career Growth,On-Campus,No,-49531.64,0.181818
953,25,Male,Science,2.75,0,Manager,105791.81,Yes,596,173,Scholarship,Consultant,172644.76,Domestic,Networking,On-Campus,Yes,66852.95000000001,0.0
954,30,Male,Economics,2.67,1,Consultant,90470.16,Yes,337,37,Employer,Consultant,154211.07,International,Career Growth,On-Campus,Yes,63740.91,0.033333
955,29,Male,Arts,3.26,1,Engineer,100467.0,Yes,741,158,Loan,Executive,103077.54,Domestic,Networking,On-Campus,No,2610.5399999999936,0.034483
956,28,Male,Business,3.26,0,Analyst,28672.6,Yes,554,92,Loan,Finance Manager,122556.91,International,Career Growth,Online,Yes,93884.31,0.0
957,22,Male,Engineering,3.82,2,Analyst,45226.49,Yes,320,450,Self-funded,Executive,156620.81,International,Skill Enhancement,On-Campus,Yes,111394.32,0.090909
958,22,Male,Business,3.43,5,Entrepreneur,42675.7,No,786,205,Employer,Executive,134250.19,International,Entrepreneurship,On-Campus,Yes,91574.49,0.227273
959,23,Male,Science,2.58,2,Engineer,87524.52,No,386,198,Self-funded,Startup Founder,75747.49,Domestic,Career Growth,Online,No,-11777.029999999999,0.086957
960,24,Male,Business,3.28,0,Engineer,52960.86,No,800,285,Employer,Marketing Director,177229.1,Domestic,Networking,On-Campus,No,124268.24,0.0
961,27,Female,Science,3.13,8,Entrepreneur,68724.54,No,552,307,Loan,Marketing Director,155947.08,Domestic,Entrepreneurship,Online,Yes,87222.54,0.296296
962,22,Male,Arts,3.3,6,Entrepreneur,128520.66,No,607,234,Scholarship,Finance Manager,67589.54,International,Skill Enhancement,Online,Yes,-60931.12000000001,0.272727
963,29,Male,Arts,3.16,8,Analyst,85248.63,Yes,366,425,Employer,Finance Manager,87204.01,Domestic,Networking,On-Campus,Yes,1955.37999999999,0.275862
964,22,Female,Science,2.29,6,Engineer,74085.87,Yes,627,79,Self-funded,Startup Founder,73130.24,Domestic,Entrepreneurship,Online,No,-955.6299999999901,0.272727
965,24,Female,Economics,2.23,11,Consultant,48298.39,Yes,559,327,Loan,Startup Founder,190294.18,Domestic,Entrepreneurship,Online,No,141995.78999999998,0.458333
966,30,Female,Arts,2.5,0,Consultant,100430.7,No,615,361,Self-funded,Executive,119747.98,Domestic,Entrepreneurship,Online,No,19317.28,0.0
967,26,Male,Economics,2.66,5,Analyst,111511.1,Yes,603,481,Scholarship,Startup Founder,135592.81,Domestic,Networking,On-Campus,Yes,24081.709999999992,0.192308
968,31,Female,Science,2.15,2,Consultant,116869.97,No,573,311,Self-funded,Marketing Director,124374.29,International,Career Growth,On-Campus,Yes,7504.319999999992,0.064516
969,34,Male,Science,3.74,4,Consultant,135275.79,No,473,238,Scholarship,Consultant,167331.25,International,Career Growth,On-Campus,Yes,32055.459999999992,0.117647
970,30,Male,Arts,2.53,8,Engineer,57028.08,No,605,84,Scholarship,Consultant,72344.79,Domestic,Skill Enhancement,On-Campus,Yes,15316.709999999992,0.266667
971,30,Male,Economics,3.75,10,Engineer,66719.25,Yes,695,390,Loan,Executive,104571.27,International,Entrepreneurship,Online,Yes,37852.020000000004,0.333333
972,23,Female,Science,2.52,3,Manager,97694.23,No,603,324,Loan,Executive,130773.42,Domestic,Networking,On-Campus,Yes,33079.19,0.130435
973,28,Male,Arts,2.0,5,Engineer,38412.68,No,383,354,Scholarship,Marketing Director,192124.78,International,Career Growth,Online,No,153712.1,0.178571
974,22,Male,Science,3.06,4,Manager,83773.3,Yes,468,526,Loan,Executive,83872.14,International,Networking,Online,Yes,98.83999999999651,0.181818
975,22,Male,Business,2.49,7,Engineer,57150.61,Yes,694,374,Scholarship,Marketing Director,67173.76,Domestic,Entrepreneurship,Online,No,10023.149999999994,0.318182
976,31,Female,Business,3.83,0,Entrepreneur,99607.81,Yes,419,244,Loan,Finance Manager,183869.38,International,Entrepreneurship,Online,Yes,84261.57,0.0
977,22,Female,Arts,2.2,2,Engineer,71928.74,No,354,261,Scholarship,Consultant,105763.22,Domestic,Career Growth,Online,No,33834.479999999996,0.090909
978,26,Male,Science,2.96,2,Manager,87614.35,No,312,147,Scholarship,Marketing Director,213388.41,International,Career Growth,On-Campus,No,125774.06,0.076923
979,22,Female,Arts,3.82,5,Consultant,57979.18,Yes,480,35,Loan,Startup Founder,166129.14,Domestic,Entrepreneurship,On-Campus,Yes,108149.96000000002,0.227273
980,27,Female,Engineering,2.81,0,Engineer,77870.09,No,645,101,Employer,Marketing Director,182386.02,Domestic,Skill Enhancement,On-Campus,Yes,104515.93,0.0
981,24,Female,Arts,2.27,2,Consultant,62802.43,No,657,1,Loan,Consultant,205295.55,Domestic,Skill Enhancement,Online,Yes,142493.12,0.083333
982,34,Male,Arts,2.66,9,Consultant,47278.9,No,445,72,Loan,Consultant,154888.39,International,Skill Enhancement,Online,No,107609.49000000002,0.264706
983,22,Female,Business,3.23,5,Engineer,103593.92,Yes,380,197,Self-funded,Startup Founder,186335.79,Domestic,Skill Enhancement,On-Campus,Yes,82741.87000000001,0.227273
984,22,Male,Business,2.3,1,Engineer,33578.88,No,567,254,Loan,Marketing Director,141022.06,Domestic,Entrepreneurship,Online,No,107443.18,0.045455
985,23,Female,Science,2.81,6,Entrepreneur,58407.62,Yes,418,104,Scholarship,Consultant,125413.49,International,Networking,On-Campus,No,67005.87,0.26087
986,22,Male,Arts,3.46,1,Manager,74417.17,Yes,467,62,Employer,Marketing Director,117027.3,International,Career Growth,Online,Yes,42610.130000000005,0.045455
987,23,Male,Arts,3.4,5,Engineer,104071.09,No,677,58,Loan,Executive,101103.34,International,Networking,Online,Yes,-2967.75,0.217391
988,33,Male,Science,2.0,4,Consultant,96657.55,Yes,425,42,Scholarship,Marketing Director,97430.23,Domestic,Career Growth,On-Campus,Yes,772.679999999993,0.121212
989,28,Female,Economics,2.49,9,Consultant,29978.34,No,428,235,Loan,Consultant,183957.71,Domestic,Career Growth,On-Campus,Yes,153979.37,0.321429
990,25,Male,Science,2.64,2,Engineer,68265.51,Yes,604,128,Scholarship,Startup Founder,74262.61,Domestic,Networking,On-Campus,Yes,5997.100000000006,0.08
991,23,Female,Business,3.29,6,Manager,94410.5,No,646,437,Scholarship,Executive,87878.71,Domestic,Entrepreneurship,On-Campus,No,-6531.789999999994,0.26087
992,25,Male,Business,2.78,6,Consultant,81064.3,No,598,417,Employer,Startup Founder,164791.23,International,Skill Enhancement,On-Campus,Yes,83726.93000000001,0.24
993,27,Female,Arts,3.95,6,Entrepreneur,66761.12,No,512,118,Self-funded,Startup Founder,162289.0,Domestic,Entrepreneurship,Online,Yes,95527.88,0.222222
994,26,Female,Business,3.42,2,Consultant,70601.91,No,337,283,Employer,Finance Manager,104126.62,International,Networking,On-Campus,No,33524.70999999999,0.076923
995,22,Female,Science,2.36,1,Manager,63365.14,Yes,394,85,Employer,Startup Founder,78195.15,International,Skill Enhancement,On-Campus,No,14830.009999999995,0.045455
996,24,Female,Arts,3.16,2,Analyst,39780.71,Yes,470,58,Self-funded,Marketing Director,169973.13,Domestic,Skill Enhancement,On-Campus,Yes,130192.42000000001,0.083333
997,36,Female,Science,2.42,1,Entrepreneur,41276.82,No,317,374,Scholarship,Consultant,216436.01,International,Career Growth,On-Campus,Yes,175159.19,0.027778
998,30,Male,Science,2.61,2,Entrepreneur,50143.82,No,461,217,Scholarship,Consultant,135638.12,Domestic,Networking,On-Campus,Yes,85494.29999999999,0.066667
999,30,Female,Arts,2.25,2,Analyst,42168.18,No,624,337,Scholarship,Marketing Director,83809.84,Domestic,Career Growth,On-Campus,Yes,41641.659999999996,0.066667
1000,29,Male,Economics,2.38,3,Entrepreneur,36095.35,No,287,497,Loan,Startup Founder,69536.7,Domestic,Networking,Online,No,33441.35,0.103448
1001,22,Female,Business,3.25,0,Entrepreneur,98995.31,No,669,32,Loan,Finance Manager,71871.63,Domestic,Career Growth,Online,No,-27123.679999999993,0.0
1002,22,Female,Engineering,2.9,0,Entrepreneur,76235.94,No,398,50,Loan,Finance Manager,96904.77,International,Networking,On-Campus,Yes,20668.83,0.0
1003,27,Male,Engineering,2.39,8,Consultant,85444.47,No,301,133,Employer,Marketing Director,63469.57,International,Networking,Online,Yes,-21974.9,0.296296
1004,35,Male,Engineering,3.83,5,Consultant,59056.22,Yes,704,266,Scholarship,Marketing Director,187675.67,Domestic,Skill Enhancement,On-Campus,No,128619.45000000001,0.142857
1005,26,Male,Business,2.59,5,Engineer,81030.9,No,448,4,Scholarship,Consultant,69064.94,Domestic,Entrepreneurship,On-Campus,Yes,-11965.959999999992,0.192308
1006,31,Female,Economics,2.39,4,Engineer,131242.88,No,531,386,Loan,Marketing Director,201875.7,Domestic,Skill Enhancement,On-Campus,No,70632.82,0.129032
1007,29,Female,Science,2.3,8,Consultant,58528.33,Yes,345,340,Employer,Executive,129531.02,Domestic,Career Growth,On-Campus,No,71002.69,0.275862
1008,23,Female,Arts,3.41,5,Entrepreneur,75434.91,No,477,329,Employer,Startup Founder,187061.07,Domestic,Networking,Online,No,111626.16,0.217391
1009,27,Female,Economics,4.0,2,Manager,81449.66,Yes,686,125,Self-funded,Executive,148530.73,International,Networking,Online,No,67081.07,0.074074
1010,22,Female,Engineering,3.05,2,Analyst,93435.18,No,671,161,Employer,Marketing Director,147259.01,Domestic,Career Growth,Online,Yes,53823.830000000016,0.090909
1011,29,Male,Business,3.91,6,Engineer,64278.35,Yes,570,359,Self-funded,Startup Founder,154699.84,Domestic,Networking,Online,No,90421.48999999999,0.206897
1012,27,Male,Business,2.99,3,Entrepreneur,100879.15,No,417,16,Employer,Marketing Director,157436.38,International,Skill Enhancement,Online,Yes,56557.23000000001,0.111111
1013,31,Female,Arts,3.13,10,Engineer,93512.04,No,564,422,Self-funded,Finance Manager,86405.94,Domestic,Entrepreneurship,Online,No,-7106.099999999991,0.322581
1014,22,Female,Science,2.85,0,Manager,44324.94,No,342,426,Employer,Consultant,148464.84,International,Entrepreneurship,Online,Yes,104139.9,0.0
1015,23,Female,Economics,3.64,5,Entrepreneur,74767.59,No,457,189,Self-funded,Marketing Director,221960.13,Domestic,Entrepreneurship,Online,Yes,147192.54,0.217391
1016,29,Male,Economics,2.97,2,Consultant,58088.55,No,538,97,Self-funded,Executive,163484.77,Domestic,Entrepreneurship,Online,Yes,105396.21999999999,0.068966
1017,22,Male,Economics,3.86,7,Manager,96421.49,No,615,192,Employer,Consultant,81308.83,Domestic,Entrepreneurship,On-Campus,Yes,-15112.660000000003,0.318182
1018,22,Male,Science,2.24,1,Engineer,36606.43,Yes,630,534,Self-funded,Finance Manager,201195.19,Domestic,Networking,Online,Yes,164588.76,0.045455
1019,37,Male,Science,2.82,2,Entrepreneur,60004.09,No,565,342,Employer,Finance Manager,125866.98,International,Skill Enhancement,Online,Yes,65862.89,0.054054
1020,29,Male,Science,3.29,1,Entrepreneur,80107.64,No,320,93,Self-funded,Finance Manager,148295.45,Domestic,Skill Enhancement,On-Campus,Yes,68187.81000000001,0.034483
1021,32,Female,Arts,3.34,3,Analyst,77417.44,No,263,268,Self-funded,Marketing Director,69715.43,International,Networking,Online,Yes,-7702.010000000009,0.09375
1022,29,Male,Business,2.32,10,Analyst,132575.18,No,738,223,Loan,Finance Manager,155190.57,Domestic,Networking,Online,Yes,22615.390000000014,0.344828
1023,34,Female,Engineering,3.08,9,Analyst,59915.23,Yes,791,231,Scholarship,Consultant,140938.68,International,Career Growth,Online,No,81023.44999999998,0.264706
1024,26,Male,Science,2.96,5,Consultant,85142.08,Yes,461,372,Loan,Marketing Director,144211.52,Domestic,Skill Enhancement,Online,Yes,59069.43999999999,0.192308
1025,32,Female,Business,3.34,7,Entrepreneur,90310.21,No,707,275,Scholarship,Marketing Director,165983.81,International,Career Growth,On-Campus,No,75673.59999999999,0.21875
1026,26,Male,Science,3.6,4,Entrepreneur,45543.11,No,385,315,Employer,Startup Founder,160361.13,International,Career Growth,Online,No,114818.02,0.153846
1027,29,Male,Engineering,3.24,5,Engineer,42621.02,Yes,260,21,Scholarship,Consultant,230326.99,Domestic,Career Growth,On-Campus,No,187705.97,0.172414
1028,34,Male,Science,2.66,4,Consultant,94383.06,No,700,283,Scholarship,Marketing Director,89529.87,International,Skill Enhancement,On-Campus,Yes,-4853.190000000002,0.117647
1029,24,Other,Business,4.0,5,Analyst,50149.38,No,632,411,Self-funded,Consultant,90017.61,Domestic,Career Growth,On-Campus,No,39868.23,0.208333
1030,30,Female,Arts,3.34,3,Entrepreneur,82286.79,No,449,462,Scholarship,Marketing Director,208068.99,Domestic,Career Growth,Online,No,125782.2,0.1
1031,22,Male,Engineering,2.41,2,Analyst,47355.97,No,542,459,Employer,Finance Manager,80914.34,International,Career Growth,Online,Yes,33558.369999999995,0.090909
1032,28,Male,Business,2.15,10,Manager,43731.17,No,571,30,Employer,Startup Founder,123049.53,Domestic,Career Growth,On-Campus,No,79318.36,0.357143
1033,22,Female,Economics,2.59,2,Consultant,81068.31,No,577,369,Loan,Executive,147229.86,International,Career Growth,Online,Yes,66161.54999999999,0.090909
1034,24,Male,Economics,3.03,4,Analyst,110593.05,No,317,438,Scholarship,Startup Founder,91841.46,Domestic,Entrepreneurship,On-Campus,Yes,-18751.589999999997,0.166667
1035,25,Male,Economics,3.92,0,Consultant,33671.8,No,345,137,Employer,Startup Founder,108721.94,International,Skill Enhancement,On-Campus,No,75050.14,0.0
1036,24,Female,Arts,3.88,7,Entrepreneur,134393.05,No,404,272,Employer,Consultant,163150.35,International,Career Growth,On-Campus,Yes,28757.300000000017,0.291667
1037,22,Female,Science,3.78,4,Manager,30746.52,Yes,800,280,Loan,Consultant,66912.25,Domestic,Skill Enhancement,Online,Yes,36165.729999999996,0.181818
1038,33,Male,Science,2.42,7,Engineer,107203.82,No,527,10,Loan,Executive,60146.55,Domestic,Entrepreneurship,Online,No,-47057.270000000004,0.212121
1039,28,Male,Science,3.46,1,Manager,108552.36,No,424,85,Loan,Consultant,107078.24,International,Career Growth,Online,No,-1474.1199999999953,0.035714
1040,22,Female,Arts,2.71,7,Consultant,55236.2,No,724,329,Self-funded,Finance Manager,67490.15,International,Career Growth,Online,No,12253.949999999997,0.318182
1041,33,Male,Economics,2.25,3,Manager,87019.06,No,622,170,Self-funded,Consultant,108778.2,International,Networking,Online,Yes,21759.14,0.090909
1042,32,Male,Science,3.5,4,Entrepreneur,91741.08,No,676,436,Self-funded,Executive,91792.96,International,Entrepreneurship,Online,No,51.88000000000466,0.125
1043,22,Female,Arts,2.48,9,Consultant,40955.13,Yes,800,348,Loan,Marketing Director,92800.46,Domestic,Career Growth,Online,Yes,51845.33000000001,0.409091
1044,23,Female,Arts,3.48,1,Consultant,33935.69,Yes,316,453,Employer,Consultant,147386.84,International,Networking,Online,No,113451.15,0.043478
1045,27,Male,Business,3.21,1,Entrepreneur,88365.48,No,565,418,Loan,Startup Founder,129461.01,International,Skill Enhancement,Online,Yes,41095.53,0.037037
1046,25,Other,Science,3.77,1,Analyst,131938.35,Yes,412,380,Loan,Startup Founder,102872.89,Domestic,Career Growth,On-Campus,Yes,-29065.460000000006,0.04
1047,22,Female,Economics,2.07,6,Engineer,32050.54,No,622,375,Employer,Consultant,127603.44,Domestic,Networking,On-Campus,No,95552.9,0.272727
1048,27,Male,Engineering,3.49,2,Manager,98997.95,No,496,56,Loan,Finance Manager,120869.99,International,Entrepreneurship,Online,No,21872.040000000008,0.074074
1049,33,Other,Arts,3.93,5,Engineer,131163.23,No,748,452,Loan,Startup Founder,172338.56,Domestic,Entrepreneurship,On-Campus,No,41175.32999999999,0.151515
1050,28,Male,Business,3.45,0,Engineer,79249.5,Yes,678,247,Loan,Finance Manager,108811.76,Domestic,Skill Enhancement,On-Campus,Yes,29562.259999999995,0.0
1051,28,Male,Engineering,3.17,5,Entrepreneur,40318.56,Yes,375,504,Loan,Executive,87746.12,International,Networking,Online,Yes,47427.56,0.178571
1052,25,Female,Arts,3.08,7,Analyst,49345.31,No,266,61,Self-funded,Consultant,199949.8,Domestic,Entrepreneurship,Online,Yes,150604.49,0.28
1053,29,Male,Business,2.93,5,Engineer,46010.08,No,576,159,Employer,Marketing Director,195871.32,Domestic,Skill Enhancement,On-Campus,No,149861.24,0.172414
1054,22,Male,Science,3.67,0,Consultant,37162.68,Yes,400,412,Scholarship,Startup Founder,205941.96,International,Networking,Online,No,168779.28,0.0
1055,28,Male,Business,3.79,3,Analyst,36735.85,No,349,132,Loan,Marketing Director,95767.68,International,Networking,On-Campus,Yes,59031.829999999994,0.107143
1056,27,Male,Arts,3.16,1,Entrepreneur,66469.57,No,800,431,Self-funded,Startup Founder,160053.69,International,Networking,Online,No,93584.12,0.037037
1057,34,Female,Science,3.66,11,Engineer,38133.26,No,364,394,Self-funded,Finance Manager,219170.24,Domestic,Career Growth,Online,Yes,181036.97999999998,0.323529
1058,29,Female,Economics,3.15,3,Entrepreneur,43941.57,Yes,398,123,Employer,Startup Founder,60562.18,International,Networking,Online,Yes,16620.61,0.103448
1059,33,Other,Business,2.09,7,Manager,82879.0,No,596,115,Employer,Executive,120868.66,Domestic,Entrepreneurship,Online,Yes,37989.66,0.212121
1060,22,Male,Engineering,3.26,3,Entrepreneur,37767.29,Yes,393,234,Loan,Finance Manager,53120.73,International,Networking,On-Campus,Yes,15353.440000000002,0.136364
1061,23,Male,Science,2.66,8,Consultant,34525.91,Yes,332,101,Self-funded,Marketing Director,194407.07,Domestic,Career Growth,On-Campus,Yes,159881.16,0.347826
1062,38,Male,Science,2.54,2,Entrepreneur,122874.74,No,323,223,Loan,Finance Manager,149534.18,International,Skill Enhancement,Online,Yes,26659.439999999988,0.052632
1063,32,Male,Economics,2.18,7,Analyst,90499.23,Yes,544,422,Employer,Startup Founder,102333.8,Domestic,Networking,Online,Yes,11834.570000000007,0.21875
1064,32,Male,Business,2.94,8,Manager,87431.62,No,453,185,Scholarship,Executive,139293.24,International,Career Growth,Online,No,51861.619999999995,0.25
1065,30,Female,Engineering,3.28,2,Consultant,38705.55,No,720,172,Self-funded,Executive,164774.54,Domestic,Networking,On-Campus,Yes,126068.99,0.066667
1066,31,Female,Economics,2.84,5,Manager,97185.25,Yes,641,271,Self-funded,Executive,81814.15,Domestic,Networking,On-Campus,No,-15371.100000000006,0.16129
1067,27,Other,Business,2.0,1,Consultant,29349.29,No,573,102,Scholarship,Marketing Director,104584.78,International,Skill Enhancement,Online,No,75235.48999999999,0.037037
1068,25,Male,Engineering,2.84,2,Manager,123042.26,No,587,129,Scholarship,Finance Manager,204196.05,Domestic,Career Growth,Online,Yes,81153.79,0.08
1069,27,Female,Engineering,2.58,6,Engineer,68922.67,No,498,547,Scholarship,Consultant,102223.09,International,Entrepreneurship,On-Campus,Yes,33300.42,0.222222
1070,24,Male,Arts,2.98,1,Entrepreneur,105128.06,No,260,168,Employer,Marketing Director,95044.17,Domestic,Career Growth,Online,Yes,-10083.89,0.041667
1071,26,Male,Engineering,2.68,6,Analyst,127804.75,No,636,486,Employer,Finance Manager,98768.21,International,Entrepreneurship,Online,Yes,-29036.539999999994,0.230769
1072,31,Female,Business,4.0,0,Analyst,30683.35,Yes,273,293,Self-funded,Executive,154734.37,International,Networking,On-Campus,Yes,124051.01999999999,0.0
1073,26,Female,Economics,2.03,5,Engineer,93165.17,Yes,372,59,Employer,Startup Founder,164506.2,International,Career Growth,Online,No,71341.03000000001,0.192308
1074,28,Male,Economics,3.06,5,Manager,121530.16,No,617,274,Scholarship,Startup Founder,89297.55,Domestic,Networking,On-Campus,Yes,-32232.61,0.178571
1075,24,Male,Arts,3.55,5,Entrepreneur,62549.48,No,264,280,Employer,Startup Founder,118469.64,Domestic,Skill Enhancement,On-Campus,Yes,55920.159999999996,0.208333
1076,29,Male,Business,3.94,6,Engineer,50762.01,No,336,87,Loan,Startup Founder,134275.01,International,Career Growth,Online,No,83513.0,0.206897
1077,23,Female,Engineering,2.32,4,Manager,35388.2,No,289,323,Loan,Consultant,230144.54,International,Career Growth,Online,No,194756.34000000003,0.173913
1078,22,Male,Arts,2.92,0,Entrepreneur,54244.06,Yes,665,359,Self-funded,Finance Manager,118864.77,International,Career Growth,Online,Yes,64620.71000000001,0.0
1079,25,Other,Science,2.0,0,Manager,91310.48,No,731,39,Loan,Finance Manager,52010.82,International,Skill Enhancement,On-Campus,Yes,-39299.659999999996,0.0
1080,23,Male,Business,3.19,5,Analyst,70965.36,Yes,649,288,Employer,Marketing Director,155406.67,Domestic,Skill Enhancement,Online,No,84441.31000000001,0.217391
1081,24,Male,Arts,2.47,3,Entrepreneur,64729.98,No,730,382,Scholarship,Startup Founder,175110.95,Domestic,Career Growth,Online,No,110380.97,0.125
1082,28,Male,Economics,3.55,9,Analyst,87303.17,Yes,376,183,Loan,Marketing Director,91781.55,International,Skill Enhancement,Online,No,4478.380000000005,0.321429
1083,23,Female,Arts,2.18,1,Analyst,79444.43,Yes,316,303,Employer,Startup Founder,80675.74,International,Career Growth,On-Campus,Yes,1231.3100000000122,0.043478
1084,31,Male,Science,3.1,3,Entrepreneur,66606.35,No,278,175,Scholarship,Consultant,201869.28,Domestic,Skill Enhancement,On-Campus,Yes,135262.93,0.096774
1085,29,Female,Business,3.17,1,Engineer,59297.76,Yes,591,518,Self-funded,Consultant,165247.97,International,Networking,Online,No,105950.20999999999,0.034483
1086,33,Female,Arts,3.85,4,Manager,101216.95,No,282,332,Scholarship,Executive,217346.68,Domestic,Entrepreneurship,On-Campus,No,116129.73,0.121212
1087,31,Female,Engineering,3.58,1,Entrepreneur,90246.84,No,639,571,Loan,Startup Founder,110285.76,International,Skill Enhancement,On-Campus,Yes,20038.92,0.032258
1088,28,Female,Business,2.61,11,Analyst,40303.47,Yes,649,9,Scholarship,Startup Founder,99556.69,Domestic,Career Growth,Online,No,59253.22,0.392857
1089,30,Female,Arts,2.46,0,Manager,61329.63,No,629,485,Self-funded,Finance Manager,80477.09,International,Entrepreneurship,On-Campus,No,19147.46,0.0
1090,31,Female,Arts,2.33,1,Entrepreneur,82767.65,Yes,336,252,Scholarship,Consultant,159622.26,International,Networking,On-Campus,No,76854.61000000002,0.032258
1091,31,Female,Business,3.83,3,Engineer,87143.93,Yes,489,233,Employer,Finance Manager,153474.32,Domestic,Skill Enhancement,On-Campus,No,66330.39000000001,0.096774
1092,22,Male,Economics,3.58,5,Entrepreneur,111160.46,No,307,473,Loan,Marketing Director,73987.72,Domestic,Skill Enhancement,Online,Yes,-37172.740000000005,0.227273
1093,34,Male,Engineering,2.92,5,Entrepreneur,46785.13,No,692,459,Self-funded,Finance Manager,67555.76,International,Career Growth,Online,No,20770.629999999997,0.147059
1094,30,Male,Business,2.01,6,Consultant,29789.94,Yes,271,444,Loan,Startup Founder,113772.55,International,Entrepreneurship,On-Campus,Yes,83982.61,0.2
